Column Names
providerId
utcStartTime
status
compSeason.shortName
round.name
round.roundNumber
venue.name
home.team.name
home.team.club.name
away.team.name
away.team.club.name
player.jumperNumber
player.photoURL
player.player.position
player.player.player.playerId
player.player.player.captain
player.player.player.playerJumperNumber
player.player.player.givenName
player.player.player.surname
teamId
gamesPlayed
timeOnGroundPercentage
goals
behinds
superGoals
kicks
handballs
disposals
marks
bounces
tackles
contestedPossessions
uncontestedPossessions
totalPossessions
inside50s
marksInside50
contestedMarks
hitouts
onePercenters
disposalEfficiency
clangers
freesFor
freesAgainst
dreamTeamPoints
rebound50s
goalAssists
goalAccuracy
ratingPoints
ranking
lastUpdated
turnovers
intercepts
tacklesInside50
shotsAtGoal
goalEfficiency
shotEfficiency
interchangeCounts
scoreInvolvements
metresGained
clearances.centreClearances
clearances.stoppageClearances
clearances.totalClearances
extendedStats.effectiveKicks
extendedStats.kickEfficiency
extendedStats.kickToHandballRatio
extendedStats.effectiveDisposals
extendedStats.marksOnLead
extendedStats.interceptMarks
extendedStats.contestedPossessionRate
extendedStats.hitoutsToAdvantage
extendedStats.hitoutWinPercentage
extendedStats.hitoutToAdvantageRate
extendedStats.groundBallGets
extendedStats.f50GroundBallGets
extendedStats.scoreLaunches
extendedStats.pressureActs
extendedStats.defHalfPressureActs
extendedStats.spoils
extendedStats.ruckContests
extendedStats.contestDefOneOnOnes
extendedStats.contestDefLosses
extendedStats.contestDefLossPercentage
extendedStats.contestOffOneOnOnes
extendedStats.contestOffWins
extendedStats.contestOffWinsPercentage
extendedStats.centreBounceAttendances
extendedStats.kickins
extendedStats.kickinsPlayon
player.playerId
player.captain
player.playerJumperNumber
player.givenName
player.surname
teamStatus
extendedStats
team.name
